,fueltype,enginetype,enginesize,horsepower,price
134,1,3,121,110,15040.0
135,1,3,121,110,15510.0
136,1,1,121,160,18150.0
137,1,1,121,160,18620.0
138,1,6,97,69,5118.0
139,1,6,108,73,7053.0
140,1,6,108,73,7603.0
141,1,6,108,82,7126.0
142,1,6,108,82,7775.0
143,1,6,108,94,9960.0
144,1,6,108,82,9233.0
145,1,6,108,111,11259.0
146,1,6,108,82,7463.0
147,1,6,108,94,10198.0
148,1,6,108,82,8013.0
149,1,6,108,111,11694.0
150,1,3,92,62,5348.0
151,1,3,92,62,6338.0
152,1,3,92,62,6488.0
153,1,3,92,62,6918.0
154,1,3,92,62,7898.0
155,1,3,92,62,8778.0
156,1,3,98,70,6938.0
157,1,3,98,70,7198.0
158,2,3,110,56,7898.0
159,2,3,110,56,7788.0
160,1,3,98,70,7738.0
161,1,3,98,70,8358.0
162,1,3,98,70,9258.0
163,1,3,98,70,8058.0
164,1,3,98,70,8238.0
165,1,1,98,112,9298.0
166,1,1,98,112,9538.0
167,1,3,146,116,8449.0
168,1,3,146,116,9639.0
169,1,3,146,116,9989.0
170,1,3,146,116,11199.0
171,1,3,146,116,11549.0
172,1,3,146,116,17669.0
173,1,3,122,92,8948.0
174,2,3,110,73,10698.0
175,1,3,122,92,9988.0
176,1,3,122,92,10898.0
177,1,3,122,92,11248.0
178,1,1,171,161,16558.0
179,1,1,171,161,15998.0
180,1,1,171,156,15690.0
181,1,1,161,156,15750.0
182,2,3,97,52,7775.0
183,1,3,109,85,7975.0
184,2,3,97,52,7995.0
185,1,3,109,85,8195.0
186,1,3,109,85,8495.0
187,2,3,97,68,9495.0
188,1,3,109,100,9995.0
189,1,3,109,90,11595.0
190,1,3,109,90,9980.0
191,1,3,136,110,13295.0
192,2,3,97,68,13845.0
193,1,3,109,88,12290.0
194,1,3,141,114,12940.0
195,1,3,141,114,13415.0
196,1,3,141,114,15985.0
197,1,3,141,114,16515.0
198,1,3,130,162,18420.0
199,1,3,130,162,18950.0
200,1,3,141,114,16845.0
201,1,3,141,160,19045.0
202,1,2,173,134,21485.0
203,2,3,145,106,22470.0
204,1,3,141,114,22625.0
